ProductID,ProductName,Stock,Warehouse
119,Keyboard Color,NULL,Warehouse4
107,"Monitor 21""",58,Warehouse4
101,Acer Laptop,73,Warehouse4
103,"""""""Keyboard",99,Warehouse4
120,Mouse Flexi,72,Warehouse4
101,"""""Acer Laptop""""""",NULL,Warehouse4
103,Keyboard,100,Warehouse4
110,8 GB RAM 2400,43,Warehouse4
103,Keyboard,79,Warehouse4
105,"Monitor 17""",81,Warehouse4
111,8 GB RAM 4800,54,Warehouse4
110,8 GB RAM 2400,INVALID,Warehouse4
106,"Monitor 19""",98,Warehouse4
113,"16 GB RAM 2400""""""",,Warehouse4
117,HP Laptop,79,Warehouse4
113,16 GB RAM 2400,39,Warehouse4
115,128 GB SSD,59,Warehouse4
110,8 GB RAM 2400,87,Warehouse4
114,16 GB RAM 4800,,Warehouse4
119,Keyboard Color,60,Warehouse4
109,"""250 GB SSD""",44,Warehouse4
119,Keyboard Color,72,Warehouse4
106,"Monitor 19""",79,Warehouse4
119,Keyboard Color,,Warehouse4
112,500 GB HDD,,Warehouse4
117,HP Laptop,66,Warehouse4
116,4 GB RAM 4800,52,Warehouse4
113,16 GB RAM 2400,91,Warehouse4
106,"Monitor 19""",67,Warehouse4
109,250 GB SSD,99,Warehouse4
113,16 GB RAM 2400,12,Warehouse4
104,"Monitor 15""",18,Warehouse4
119,Keyboard Color,INVALID,Warehouse4
112,500 GB HDD,22,Warehouse4
120,Mouse Flexi,97,Warehouse4
107,"Monitor 21""",43,Warehouse4
104,"Monitor 15""",42,Warehouse4
112,500 GB HDD,93,Warehouse4
118,Dell Laptop,63,Warehouse4
117,HP Laptop,50,Warehouse4
103,Keyboard,77,Warehouse4
106,"Monitor 19""",31,Warehouse4
116,4 GB RAM 4800,35,Warehouse4
106,"Monitor 19""",91,Warehouse4
104,"Monitor 15""",,Warehouse4
114,16 GB RAM 4800,79,Warehouse4
110,8 GB RAM 2400,INVALID,Warehouse4
113,16 GB RAM 2400,45,Warehouse4
100,4 GB RAM 2400,35,Warehouse4
116,4 GB RAM 4800,94,Warehouse4
